;Version, 1, 0
;v (/net8 /net7)\; pac dB20(V) (harmonic=0)
;X, Y
;Re, Re
;freq, V
;Hz, dB
-25000000,0.5613493917682231
-24804687.5,0.6864044185398777
-24609375,0.8123415376012967
-24414062.5,0.9391732028321071
-24218750,1.066912128818593
-24023437.5,1.195571297618608
-23828125,1.325163965695397
-23632812.5,1.455703671019752
-23437500,1.587204240340624
-23242187.5,1.719679796621476
-23046875,1.853144766640241
-22851562.5,1.987613888749297
-22656250,2.123102220789285
-22460937.5,2.259625148151399
-22265625,2.397198391978266
-22070312.5,2.53583801749416
-21875000,2.675560442451128
-21679687.5,2.816382445675719
-21484375,2.958321175698037
-21289062.5,3.101394159441501
-21093750,3.245619310947119
-20898437.5,3.391014940102726
-20703125,3.537599761341844
-20507812.5,3.685392902270981
-20312500,3.834413912178297
-20117187.5,3.984682770368988
-19921875,4.136219894263538
-19726562.5,4.289046147186465
-19531250,4.443182845761659
-19335937.5,4.598651766818234
-19140625,4.755475153696812
-18945312.5,4.913675721829486
-18750000,5.073276663450587
-18554687.5,5.234301651271123
-18359375,5.396774840930654
-18164062.5,5.560720872009912
-17968750,5.726164867359746
-17773437.5,5.893132430465648
-17578125,6.061649640529856
-17382812.5,6.231743044905884
-17187500,6.403439648472889
-16992187.5,6.576766899475689
-16796875,6.751752671294837
-16601562.5,6.928425239532261
-16406250,7.106813253716427
-16210937.5,7.286945702831606
-16015625,7.468851873768036
-15820312.5,7.652561301661609
-15625000,7.838103710952388
-15429687.5,8.025508945825369
-15234375,8.214806888516415
-15039062.5,8.406027363752118
-14843750,8.599200027358059
-14648437.5,8.794354236795447
-14453125,8.991518901082575
-14257812.5,9.190722307206368
-14062500,9.391991919737228
-13867187.5,9.595354149913566
-13671875,9.800834089962605
-13476562.5,10.00845520785562
-13281250,10.21823899706448
-13085937.5,10.43020457517605
-12890625,10.64436822443214
-12695312.5,10.86074286638751
-12500000,11.07933746191751
-12304687.5,11.30015632675435
-12109375,11.52319835159615
-11914062.5,11.74845611461801
-11718750,11.97591487294219
-11523437.5,12.20555141831336
-11328125,12.43733278092436
-11132812.5,12.67121476409715
-10937500,12.90714029143428
-10742187.5,13.1450375472285
-10546875,13.38481789050655
-10351562.5,13.62637352329714
-10156250,13.86957489481492
-9960937.5,14.11426782558655
-9765625,14.3602703395371
-9570312.5,14.60736919823446
-9375000,14.85531614047757
-9179687.5,15.10382384295403
-8984375,15.35256163458394
-8789062.5,15.60115101928869
-8593750,15.84916109009403
-8398437.5,16.09610395239618
-8203125,16.34143031624297
-8007812.5,16.58452546639437
-7812500,16.82470587360691
-7617187.5,17.0612167685878
-7421875,17.29323105720634
-7226562.5,17.51985000545562
-7031250,17.74010615653156
-6835937.5,17.95296894902792
-6640625,18.15735347160786
-6445312.5,18.35213270207871
-6250000,18.53615342577727
-6054687.5,18.70825580265406
-5859375,18.86729625606122
-5664062.5,19.01217300271643
-5468750,19.14185316057971
-5273437.5,19.25540000111499
-5078125,19.35199860558518
-4882812.5,19.43097799324284
-4687500,19.49182775264664
-4492187.5,19.53420734141319
-4296875,19.55794650457944
-4101562.5,19.56303563644636
-3906250,19.54960527419002
-3710937.5,19.51789412783738
-3515625,19.46820495405521
-3320312.5,19.40084696685556
-3125000,19.31606207396749
-2929687.5,19.21392961320957
-2734375,19.09423970885737
-2539062.5,18.95631750791917
-2343750,18.79876672391996
-2148437.5,18.61907573409902
-1953125,18.41298172495576
-1757812.5,18.17339369132363
-1562500,17.88847798190114
-1367187.5,17.5380771016348
-1171875,17.08662109955024
-976562.5,16.46814663137543
-781250,15.55196753808419
-585937.5,14.05442879939509
-390625,11.25846101665345
-195312.5,4.537907590252192
0,-158.4276194061978
195312.5,4.109450612736413
390625,10.54787183742407
585937.5,13.05184629113049
781250,14.25017744413028
976562.5,14.86496161048798
1171875,15.18263356972352
1367187.5,15.33564516504323
1562500,15.39129451909842
1757812.5,15.38630308902802
1953125,15.34190861566131
2148437.5,15.27100706360445
2343750,15.18175867424577
2539062.5,15.07951143726224
2734375,14.96787689521005
2929687.5,14.84935728561237
3125000,14.72572470252474
3320312.5,14.59825785120462
3515625,14.46789419361274
3710937.5,14.33533027226451
3906250,14.20108941475536
4101562.5,14.06556839271074
4296875,13.92907019468069
4492187.5,13.79182744772351
4687500,13.65401942251727
4882812.5,13.51578455928546
5078125,13.37722981677604
5273437.5,13.23843773446311
5468750,13.09947182598374
5664062.5,12.96038073911682
5859375,12.82120149307893
6054687.5,12.68196201781749
6250000,12.54268315967903
6445312.5,12.40338027505546
6640625,12.26406450293006
6835937.5,12.12474378498382
7031250,11.9854236856139
7226562.5,11.84610805214366
7421875,11.70679954649385
7617187.5,11.56750007279039
7812500,11.42821112022536
8007812.5,11.28893403653996
8203125,11.1496702444454
8398437.5,11.0104214109297
8593750,10.8711895775404
8789062.5,10.73197725826923
8984375,10.59278751049958
9179687.5,10.45362398355029
9375000,10.31449094859412
9570312.5,10.17539331312689
9765625,10.03633662266123
9960937.5,9.897327051912281
10156250,9.758371387404786
10351562.5,9.619477003145855
10546875,9.480651830771901
10742187.5,9.341904325377637
10937500,9.203243428062015
11132812.5,9.06467852608281
11328125,8.926219411381332
11523437.5,8.78787623813303
11718750,8.649659479882249
11914062.5,8.511579886737419
12109375,8.373648443029811
12304687.5,8.235876325773758
12500000,8.098274864212009
12695312.5,7.960855500677382
12890625,7.823629752960009
13085937.5,7.686609178328572
13281250,7.549805339321879
13476562.5,7.413229771394629
13671875,7.276893952475742
13867187.5,7.140809274475751
14062500,7.004987016755587
14257812.5,6.869438321556595
14453125,6.734174171372251
14648437.5,6.599205368231137
14843750,6.464542514849883
15039062.5,6.330195997604743
15234375,6.196175971263091
15429687.5,6.062492345411047
15625000,5.929154772507319
15820312.5,5.796172637489953
16015625,5.66355504886177
16210937.5,5.531310831175576
16406250,5.399448518842033
16601562.5,5.267976351181636
16796875,5.136902268642435
16992187.5,5.006233910107279
17187500,4.875978611214427
17382812.5,4.746143403617429
17578125,4.616735015113978
17773437.5,4.487759870571939
17968750,4.359224093588209
18164062.5,4.231133508814012
18359375,4.103493644887196
18554687.5,3.976309737911259
18750000,3.84958673542681
18945312.5,3.723329300822212
19140625,3.597541818133667
